"mins","seconds","result","replicate","sample_id"
0.5,30,2.085858,3,"1-320-182"
0.5,30,3.104146,0,"1-320-182-dup"
0.5,30,2.913454,1,"1-320-182-dup"
0.5,30,2.69623,2,"1-320-182-dup"
0.5,30,2.741001,3,"1-320-182-dup"
0.5,30,2.625204852,0,"1-320-183"
0.5,30,2.823591669,1,"1-320-183"
0.5,30,2.844114443,2,"1-320-183"
0.5,30,2.799648432,3,"1-320-183"
0.5,30,3.011717098,0,"1-320-183-dup"
0.5,30,3.020268254,1,"1-320-183-dup"
0.5,30,3.003165942,2,"1-320-183-dup"
0.5,30,3.056183108,3,"1-320-183-dup"
0.5,30,2.691792782,0,"1-320-184"
0.5,30,2.551766842,1,"1-320-184"
0.5,30,3.197533532,2,"1-320-184"
0.5,30,2.816992447,3,"1-320-184"
0.5,30,2.963299,0,"1-320-184-dup"
0.5,30,3.174846,1,"1-320-184-dup"
0.5,30,2.888928,2,"1-320-184-dup"
0.5,30,1.798143,3,"1-320-184-dup"
0.5,30,1.625948272,0,"1-320-185"
0.5,30,1.578174716,1,"1-320-185"
0.5,30,1.647364004,2,"1-320-185"
0.5,30,1.624300908,3,"1-320-185"
0.5,30,2.952086,0,"1-320-186"
0.5,30,2.756268,1,"1-320-186"
0.5,30,3.012971,2,"1-320-186"
0.5,30,2.896138,3,"1-320-186"
0.5,30,2.274883,0,"1-320-187"
0.5,30,2.299539,1,"1-320-187"
0.5,30,2.103938,2,"1-320-187"
0.5,30,2.174618,3,"1-320-187"
0.5,30,3.106596,0,"1-320-191"
0.5,30,2.9751,1,"1-320-191"
0.5,30,2.516508,2,"1-320-191"
0.5,30,2.524726,3,"1-320-191"
0.5,30,3.082787823,0,"1-320-191-dup"
0.5,30,3.058411536,1,"1-320-191-dup"
0.5,30,2.960906386,2,"1-320-191-dup"
0.5,30,3.102288853,3,"1-320-191-dup"
0.5,30,2.226193,0,"1-320-190"
0.5,30,2.029521,1,"1-320-190"
0.5,30,2.080755,2,"1-320-190"
0.5,30,2.313787,3,"1-320-190"
0.5,30,2.850835431,0,"1-320-190-dup"
0.5,30,2.908113985,1,"1-320-190-dup"
0.5,30,2.867200732,2,"1-320-190-dup"
0.5,30,2.682272831,3,"1-320-190-dup"
0.5,30,3.037399863,0,"1-320-189"
0.5,30,2.895021744,1,"1-320-189"
0.5,30,3.048855573,2,"1-320-189"
0.5,30,3.16668574,3,"1-320-189"
0.5,30,2.161738,0,"1-320-189-dup"
0.5,30,2.168349,1,"1-320-189-dup"
0.5,30,2.044396,2,"1-320-189-dup"
0.5,30,2.070839,3,"1-320-189-dup"
0.5,30,2.69,0,"1-320-43"
0.5,30,2.68,1,"1-320-43"
0.5,30,2.61,2,"1-320-43"
0.5,30,2.85,3,"1-320-43"
0.5,30,2.7,0,"1-320-48"
0.5,30,2.83,1,"1-320-48"
0.5,30,2.67,2,"1-320-48"
0.5,30,2.76,3,"1-320-48"
0.5,30,2.82,0,"1-320-50"
0.5,30,3.01,1,"1-320-50"
0.5,30,2.81,2,"1-320-50"
0.5,30,2.97,3,"1-320-50"
0.5,30,2.5,0,"1-320-73"
0.5,30,2.42,1,"1-320-73"
0.5,30,2.65,2,"1-320-73"
0.5,30,2.55,3,"1-320-73"
0.5,30,2.691882658,0,"1-320-77"
0.5,30,2.582860609,1,"1-320-77"
0.5,30,2.509110399,2,"1-320-77"
0.5,30,2.578050813,3,"1-320-77"
0.5,30,2.217316091,0,"1-320-78"
0.5,30,2.175631189,1,"1-320-78"
0.5,30,2.143565881,2,"1-320-78"
0.5,30,2.28785977,3,"1-320-78"
0.5,30,2.79,0,"1-320-80"
0.5,30,2.64,1,"1-320-80"
0.5,30,2.75,2,"1-320-80"
0.5,30,2.58,3,"1-320-80"
0.5,30,2.63,0,"1-320-159"
0.5,30,2.57,1,"1-320-159"
0.5,30,2.8,2,"1-320-159"
0.5,30,3.02,3,"1-320-159"
0.5,30,2.54,0,"1-320-159-dup"
0.5,30,2.47,1,"1-320-159-dup"
0.5,30,2.37,2,"1-320-159-dup"
0.5,30,2.51,3,"1-320-159-dup"
0.5,30,2.28,0,"1-320-160"
0.5,30,2.34,1,"1-320-160"
0.5,30,2.28,2,"1-320-160"
0.5,30,2.37,3,"1-320-160"
0.5,30,3,0,"1-320-161"
0.5,30,2.88,1,"1-320-161"
0.5,30,2.79,2,"1-320-161"
0.5,30,2.95,3,"1-320-161"
0.5,30,2.97,0,"1-320-163"
0.5,30,2.83,1,"1-320-163"
0.5,30,2.78,2,"1-320-163"
0.5,30,2.77,3,"1-320-163"
1,60,3.141931487,0,"1-320-129"
1,60,3.009656825,1,"1-320-129"
1,60,3.02762005,2,"1-320-129"
1,60,3.068445563,3,"1-320-129"
1,60,2.430219577,0,"1-320-132"
1,60,2.396906081,1,"1-320-132"
1,60,2.180368353,2,"1-320-132"
1,60,2.190362402,3,"1-320-132"
1,60,2.913594263,0,"1-320-132-dup"
1,60,3.027820401,1,"1-320-132-dup"
1,60,3.36056611,2,"1-320-132-dup"
1,60,3.355599756,3,"1-320-132-dup"
1,60,3.216995499,0,"1-320-133"
1,60,2.814449989,1,"1-320-133"
1,60,2.873400168,2,"1-320-133"
1,60,2.630862287,3,"1-320-133"
1,60,3.051452811,0,"1-320-135"
1,60,3.137113298,1,"1-320-135"
1,60,2.951246204,2,"1-320-135"
1,60,2.925386435,3,"1-320-135"
1,60,2.895409,0,"1-320-136"
1,60,2.630291,1,"1-320-136"
1,60,2.604582,2,"1-320-136"
1,60,2.588515,3,"1-320-136"
1,60,3.090913,0,"1-320-136-dup"
1,60,2.882902,1,"1-320-136-dup"
1,60,3.186793,2,"1-320-136-dup"
1,60,2.965782,3,"1-320-136-dup"
1,60,2.302638,0,"1-320-137"
1,60,2.317232,1,"1-320-137"
1,60,2.333448,2,"1-320-137"
1,60,2.289666,3,"1-320-137"
1,60,3.183154,0,"1-320-138"
1,60,2.918837,1,"1-320-138"
1,60,2.831272,2,"1-320-138"
1,60,2.915594,3,"1-320-138"
1,60,3.153054093,0,"1-320-196"
1,60,3.16137789,1,"1-320-196"
1,60,3.146395056,2,"1-320-196"
1,60,3.214650187,3,"1-320-196"
1,60,2.643637751,0,"1-320-196-dup"
1,60,2.683591974,1,"1-320-196-dup"
1,60,2.568723583,2,"1-320-196-dup"
1,60,2.595359731,3,"1-320-196-dup"
1,60,3.223664,0,"1-320-196-dup2"
1,60,3.158012,1,"1-320-196-dup2"
1,60,3.051959,2,"1-320-196-dup2"
1,60,3.043543,3,"1-320-196-dup2"
1,60,3.094821241,0,"1-320-196-dup3"
1,60,3.04643946,1,"1-320-196-dup3"
